event_id,schema_version,run_id,source_id,source_root,absolute_path,relative_path,filename,extension,path_type,status,detection_reason,mime_type,bytes,sha256,created_at,modified_at,width,height,image_mode,has_alpha,exif_datetime,pdf_pages,pdf_title,pdf_author,pdf_subject,pdf_text_chars,archive_member_count,duplicate_group,classification_branch,error
evt_000061,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-048.png,assets/card-048.png,card-048.png,.png,file,observed,recursive_discovery,image/png,149,fde65b6b0186d44146b1fb92083c19a2aeb3359294aead6ccaabcad77db5bf15,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,58,57,RGB,False,,,,,,,,fde65b6b0186d441,image_metadata,
evt_000062,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-049.jpg,assets/card-049.jpg,card-049.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,457,c63671f186332f5168769bf33bf4e7214db3ac7f5b6823acd7b0b5e439adf083,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,58,57,L,False,,,,,,,,c63671f186332f51,image_metadata,
evt_000063,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-050.jpg,assets/card-050.jpg,card-050.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,420,f47705c7f46d9d38bca2d3159cbd4a89e4054d0163a3275129860f5e36b0c5ca,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,L,False,,,,,,,,f47705c7f46d9d38,image_metadata,
evt_000064,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-051.png,assets/card-051.png,card-051.png,.png,file,observed,recursive_discovery,image/png,143,3986b61f3205be2b112550f89f15c68b977fd92476b6dab0c0e0280345596f03,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,RGB,False,,,,,,,,3986b61f3205be2b,image_metadata,
evt_000065,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-052.jpg,assets/card-052.jpg,card-052.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,420,f47705c7f46d9d38bca2d3159cbd4a89e4054d0163a3275129860f5e36b0c5ca,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,53,55,L,False,,,,,,,,f47705c7f46d9d38,image_metadata,
evt_000066,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-053.jpg,assets/card-053.jpg,card-053.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,422,5e9a0925b786b81b405cad1008744bbf4852114d0b89f010e63abd13fdaf4697,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,55,54,L,False,,,,,,,,5e9a0925b786b81b,image_metadata,
evt_000067,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-054.png,assets/card-054.png,card-054.png,.png,file,observed,recursive_discovery,image/png,145,c5c9a453c9bd5a0a673ab974aa76d801be5485fe10bb2c0e13941395d090d71f,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,55,54,RGB,False,,,,,,,,c5c9a453c9bd5a0a,image_metadata,
evt_000068,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-055.jpg,assets/card-055.jpg,card-055.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,422,5e9a0925b786b81b405cad1008744bbf4852114d0b89f010e63abd13fdaf4697,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,55,54,L,False,,,,,,,,5e9a0925b786b81b,image_metadata,
evt_000069,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-056.jpg,assets/card-056.jpg,card-056.jpg,.jpg,file,observed,recursive_discovery,image/jpeg,419,a2b3d4aa80fa2c41b3842a425b76c4f65227e50cb55ac60bc6bbf886f6091b53,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,54,53,L,False,,,,,,,,a2b3d4aa80fa2c41,image_metadata,
evt_000070,1.0,20260814_research,repo_current,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research,/Users/jayjonah/Documents/Codex/2026-08-11/referenced-chatgpt-conversation-this-is-an-2/work/ambers-essential-touch-research/assets/card-057.png,assets/card-057.png,card-057.png,.png,file,observed,recursive_discovery,image/png,143,8f216cf892e589dbe96b4794eaaaee6aa1606c89ff3b11b6302d0e6299e1ae70,2026-08-14T10:19:22+00:00,2026-08-14T10:19:22+00:00,54,53,RGB,False,,,,,,,,8f216cf892e589db,image_metadata,
